,activation,batch_size,dropout_rate,patience,epoch,learning_rate,model_name,kernel,filters,nodes,mean,std
29,relu,32,0.3,15,100,0.001,CNN-LSTM,3,48,128,0.9104941968203357,0.042244716100911614
30,relu,64,0.5,10,100,0.005,CNN-LSTM,3,48,128,0.9104272681719315,0.04479950539864516
31,relu,64,0.3,10,100,0.005,CNN-LSTM,3,64,64,0.9102116624897626,0.05625438318236265
32,relu,32,0.3,10,100,0.005,CNN-LSTM,3,64,128,0.9100442039898002,0.04036343720940708
33,relu,64,0.3,15,100,0.001,CNN-LSTM,6,48,128,0.9096805577876033,0.05184985061261057
34,relu,32,0.3,15,100,0.001,CNN-LSTM,3,48,64,0.9096644302455097,0.04635375958871368
35,relu,64,0.3,15,100,0.005,CNN-LSTM,3,64,64,0.9095182751854809,0.03992661683868585
36,relu,32,0.3,10,100,0.001,CNN-LSTM,6,48,128,0.9092902273927688,0.03771949455278942
37,relu,64,0.5,15,100,0.001,CNN-LSTM,6,48,64,0.9089173022799558,0.05833107384401447
38,relu,32,0.3,15,100,0.001,CNN-LSTM,3,64,64,0.9084189701905366,0.06015104897381368
39,relu,32,0.5,10,100,0.005,CNN-LSTM,6,64,64,0.9083970930525662,0.03972542404249322
40,relu,32,0.3,15,100,0.005,CNN-LSTM,3,48,128,0.9082572456760625,0.04412162359049091
41,relu,64,0.5,15,100,0.001,CNN-LSTM,6,48,128,0.9077317730103317,0.05035349092508601
42,relu,64,0.5,10,100,0.001,CNN-LSTM,3,48,64,0.9076397544161304,0.044706555058257005
